Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
18-01-07,,,,,,,,,,,,,,
18-02-07,0.00,0.00,0.00,0.00,-0.01,0.05,0.01,0.02,-0.02,0.00,0.00,-0.03,0.01,0.00
18-03-07,0.00,0.00,0.00,0.00,-0.02,-0.02,-0.03,0.03,0.00,0.01,0.00,0.01,0.01,0.00
18-04-07,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,-0.08,0.00,0.00,0.06,0.01,0.00
18-05-07,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-0.02,0.02,0.01,0.00,0.04,0.01,0.00
18-06-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.06,-0.01,0.00,-0.02,0.00,0.00
18-07-07,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,-0.03,0.00,0.00,-0.02,-0.01,0.00
18-08-07,0.00,0.00,0.00,0.00,-0.01,-0.03,-0.04,-0.02,-0.03,0.01,-0.05,0.01,0.00,0.00
18-09-07,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-0.03,-0.05,0.01,-0.02,0.04,0.00,0.00
18-10-07,0.00,0.00,0.00,0.00,-0.01,0.00,0.03,0.01,-0.06,0.01,-0.04,0.00,0.01,0.00
18-11-07,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.05,0.02,0.03,0.01,-0.06,-0.04,0.00,0.01
18-12-07,0.00,0.00,0.00,0.00,0.02,-0.03,0.01,0.04,-0.06,-0.01,-0.06,-0.01,0.00,0.00
18-01-08,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,-0.03,-0.05,0.00,-0.07,-0.05,-0.02,0.00
18-02-08,0.00,0.00,0.00,0.00,0.02,-0.04,-0.02,-0.01,-0.07,-0.01,-0.24,-0.03,0.00,0.00
18-03-08,-0.01,0.00,0.00,0.00,-0.01,0.01,-0.03,-0.01,-0.05,0.00,-0.12,0.00,0.00,0.01
18-04-08,-0.01,0.00,0.00,0.00,-0.01,0.00,0.04,-0.01,0.04,0.00,-0.13,0.05,0.00,0.00
18-05-08,0.00,0.00,0.00,0.00,-0.01,0.02,0.02,0.00,-0.01,0.01,-0.13,-0.01,0.00,0.01
18-06-08,0.00,0.00,0.00,0.00,-0.01,0.01,-0.04,0.00,0.19,0.00,0.01,-0.10,0.00,0.01
18-07-08,0.00,-0.01,0.00,0.00,0.01,0.00,-0.06,-0.03,-0.22,-0.01,0.01,0.00,-0.01,0.00
18-08-08,0.00,-0.01,0.00,0.00,0.02,0.00,0.02,-0.03,-0.07,-0.01,-0.01,0.02,0.00,0.00
18-09-08,0.00,-0.01,-0.01,0.00,0.02,-0.13,-0.05,-0.02,-0.07,-0.02,-0.10,-0.06,0.00,-0.01
18-10-08,0.00,-0.01,-0.01,0.00,0.04,-0.11,-0.20,-0.09,-0.08,-0.04,-0.46,-0.14,0.00,-0.01
18-11-08,0.00,-0.01,-0.01,-0.01,0.06,-0.07,-0.09,-0.04,-0.15,-0.04,-0.60,-0.05,-0.01,-0.01
18-12-08,0.00,-0.01,0.00,-0.01,0.02,-0.11,-0.01,-0.06,-0.12,-0.03,-0.59,-0.01,-0.01,-0.01
18-01-09,0.00,-0.01,0.00,-0.01,0.01,0.10,-0.01,-0.12,-0.02,0.02,-0.06,-0.09,-0.03,0.01
18-02-09,0.00,0.00,0.00,0.00,-0.02,0.01,-0.07,-0.05,0.02,0.00,0.47,-0.12,0.00,0.00
18-03-09,0.00,0.00,0.00,-0.01,0.01,0.01,-0.06,-0.01,-0.08,-0.02,-0.18,0.08,0.00,0.00
18-04-09,0.01,0.00,0.01,0.00,-0.01,0.11,0.12,0.00,0.02,0.00,-0.17,0.07,0.00,0.00
18-05-09,0.00,0.00,0.01,-0.01,-0.02,0.07,0.06,0.05,0.07,0.01,0.20,0.04,0.00,0.00
18-06-09,0.00,0.01,0.01,0.00,-0.03,0.05,0.03,-0.04,0.08,0.02,0.17,-0.01,0.00,0.01
18-07-09,0.00,0.01,0.01,0.00,-0.02,0.09,0.01,0.08,-0.01,0.00,-0.24,0.09,-0.01,0.00
18-08-09,0.00,0.01,0.01,-0.01,-0.03,0.08,0.08,0.01,0.04,0.02,0.00,0.04,0.00,0.01
18-09-09,0.00,0.01,0.00,-0.01,-0.01,-0.01,0.03,0.00,-0.01,-0.03,-0.06,0.02,0.00,-0.01
18-10-09,0.00,0.01,0.00,0.00,0.00,0.06,0.02,0.03,-0.04,0.01,-0.20,0.00,0.01,0.01
18-11-09,0.00,0.01,0.00,0.00,-0.02,-0.04,0.02,0.00,0.07,0.01,0.00,0.07,0.00,0.00
18-12-09,0.00,0.00,0.00,0.00,-0.01,0.04,0.02,-0.02,0.07,0.01,0.00,0.01,0.00,0.01
18-01-10,0.00,0.00,0.00,0.01,-0.01,0.05,0.01,0.15,-0.04,0.00,-0.08,-0.04,-0.02,0.00
18-02-10,0.00,0.00,0.00,0.00,0.01,-0.03,-0.03,-0.04,0.02,0.00,0.18,0.03,0.00,0.00
18-03-10,0.00,0.00,0.00,0.00,-0.02,0.06,0.06,0.02,0.06,0.03,0.23,0.05,0.01,0.01
18-04-10,0.00,0.00,0.00,0.00,-0.01,0.01,0.04,0.05,-0.07,0.01,0.25,0.01,0.01,0.00
18-05-10,0.00,0.00,0.00,0.00,0.01,-0.01,-0.06,-0.01,-0.10,-0.01,0.00,-0.08,0.01,0.00
18-06-10,0.00,0.00,0.00,0.00,0.01,-0.06,-0.04,0.00,0.02,0.00,-0.10,-0.04,0.00,0.00
18-07-10,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.02,-0.01,0.00,0.00,0.07,-0.01,0.00
18-08-10,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.06,-0.04,0.00,0.01
18-09-10,0.00,0.00,0.00,0.00,0.01,-0.03,0.03,0.04,-0.03,0.01,0.00,0.08,0.00,0.00
18-10-10,0.00,0.00,0.00,0.00,-0.01,0.05,0.04,-0.03,-0.01,0.01,0.00,0.03,0.01,0.01
18-11-10,0.00,0.00,0.00,0.00,0.00,-0.01,0.02,0.00,0.00,0.01,0.00,-0.01,0.00,0.01
18-12-10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,-0.01,0.13,0.01,-0.05,0.05,0.00,0.00
18-01-11,0.00,0.00,0.00,0.00,-0.02,0.07,0.03,0.05,-0.09,0.01,-0.06,0.03,-0.02,0.00
18-02-11,0.00,0.00,0.00,0.00,0.01,0.01,0.03,-0.05,-0.06,0.01,-0.06,0.03,0.01,0.00
18-03-11,0.00,0.00,0.00,0.00,-0.02,0.00,-0.01,0.08,0.08,0.01,-0.13,0.01,0.01,0.01
18-04-11,0.00,0.00,0.00,0.00,0.01,-0.01,0.02,-0.04,0.00,0.01,-0.29,0.04,0.01,0.00
18-05-11,0.00,0.00,0.00,0.00,0.02,-0.11,0.01,0.02,0.06,0.00,-0.10,-0.02,0.01,0.00
18-06-11,0.00,0.00,0.00,0.00,0.00,0.03,-0.04,-0.03,0.03,0.01,0.00,-0.01,0.00,0.00
