Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
07-Apr,-0.0066,0.0031,0.0042,-0.0056,-0.0229,0.0626,0.0277,0.0649,-0.0959,0.0077,0.0000,0.0350,0.0177,0.0123
07-May,-0.0050,0.0029,0.0042,-0.0029,-0.0154,0.0116,0.0459,0.0236,-0.0657,0.0185,-0.0019,0.1108,0.0195,0.0123
07-Jun,-0.0027,0.0023,0.0030,-0.0031,0.0000,0.0375,0.0762,0.0041,-0.1184,0.0006,-0.0019,0.0853,0.0165,0.0095
07-Jul,-0.0012,0.0011,0.0000,0.0005,0.0078,-0.0038,0.0390,0.0286,-0.0741,0.0078,0.0019,0.0114,0.0003,0.0092
07-Aug,-0.0029,-0.0005,-0.0029,-0.0025,0.0000,-0.0305,-0.0374,0.0293,-0.1152,-0.0009,-0.0438,-0.0198,-0.0056,0.0094
07-Sep,-0.0051,-0.0019,-0.0045,-0.0009,0.0000,-0.0304,-0.0113,-0.0107,-0.1038,0.0136,-0.0590,0.0363,-0.0052,0.0117
07-Oct,-0.0078,-0.0030,-0.0044,-0.0021,-0.0155,-0.0248,0.0125,-0.0398,-0.1242,0.0157,-0.0951,0.0543,0.0103,0.0097
07-Nov,-0.0083,-0.0036,-0.0036,0.0026,-0.0156,-0.0079,0.0060,-0.0048,-0.0734,0.0211,-0.1056,0.0010,0.0117,0.0131
07-Dec,-0.0075,-0.0038,-0.0029,-0.0022,0.0000,-0.0392,-0.0120,0.0695,-0.0888,0.0040,-0.1417,-0.0454,0.0061,0.0112
08-Jan,-0.0062,-0.0038,-0.0019,0.0011,0.0000,-0.0157,-0.1045,0.0326,-0.0822,0.0002,-0.1723,-0.0919,-0.0210,0.0111
08-Feb,-0.0072,-0.0039,-0.0019,-0.0047,0.0238,-0.0436,-0.0742,0.0036,-0.1716,-0.0186,-0.3363,-0.0827,-0.0195,0.0027
08-Mar,-0.0103,-0.0041,-0.0013,-0.0017,0.0000,-0.0082,-0.1097,-0.0488,-0.1584,-0.0052,-0.3844,-0.0755,-0.0138,0.0057
08-Apr,-0.0140,-0.0047,-0.0005,-0.0037,0.0000,-0.0338,-0.0060,-0.0301,-0.0786,-0.0065,-0.4213,0.0134,0.0121,0.0082
08-May,-0.0140,-0.0057,0.0018,-0.0033,-0.0233,0.0269,0.0357,-0.0153,-0.0187,0.0097,-0.3356,0.0303,0.0124,0.0138
08-Jun,-0.0105,-0.0075,0.0030,-0.0045,-0.0234,0.0329,0.0185,-0.0086,0.2203,0.0093,-0.2337,-0.0744,0.0095,0.0145
08-Jul,-0.0030,-0.0103,0.0015,-0.0068,-0.0079,0.0288,-0.0826,-0.0255,-0.0863,0.0036,-0.1184,-0.1125,-0.0052,0.0106
08-Aug,0.0035,-0.0143,-0.0041,-0.0072,0.0238,0.0060,-0.0868,-0.0573,-0.1377,-0.0116,0.0101,-0.0866,-0.0101,0.0047
08-Sep,0.0055,-0.0189,-0.0134,-0.0082,0.0480,-0.1335,-0.0927,-0.0761,-0.3246,-0.0302,-0.0950,-0.0440,-0.0111,-0.0065
08-Oct,-0.0002,-0.0235,-0.0217,-0.0076,0.0794,-0.2220,-0.2295,-0.1388,-0.2009,-0.0651,-0.5174,-0.1804,0.0017,-0.0165
08-Nov,-0.0055,-0.0265,-0.0249,-0.0108,0.1163,-0.2745,-0.3109,-0.1502,-0.2704,-0.0964,-0.8050,-0.2352,-0.0024,-0.0285
08-Dec,-0.0063,-0.0267,-0.0207,-0.0136,0.1221,-0.2552,-0.2789,-0.1796,-0.3049,-0.1030,-0.9116,-0.1912,-0.0103,-0.0336
09-Jan,-0.0026,-0.0238,-0.0112,-0.0191,0.0882,-0.0848,-0.1065,-0.2020,-0.2595,-0.0503,-0.8454,-0.1420,-0.0393,-0.0192
09-Feb,-0.0003,-0.0183,-0.0016,-0.0169,0.0069,-0.0110,-0.0881,-0.2070,-0.1086,-0.0127,-0.4359,-0.2000,-0.0362,-0.0077
09-Mar,0.0019,-0.0109,0.0066,-0.0189,0.0000,0.1204,-0.1372,-0.1692,-0.0740,-0.0062,0.1250,-0.1330,-0.0299,-0.0001
09-Apr,0.0064,-0.0023,0.0121,-0.0130,-0.0135,0.1264,-0.0201,-0.0638,-0.0440,-0.0176,0.0000,0.0209,-0.0014,-0.0051
09-May,0.0107,0.0059,0.0164,-0.0142,-0.0138,0.1955,0.1207,0.0309,-0.0036,-0.0041,-0.1818,0.2035,0.0025,-0.0016
09-Jun,0.0102,0.0123,0.0190,-0.0063,-0.0544,0.2342,0.2232,0.0060,0.1715,0.0323,0.1667,0.1101,0.0021,0.0066
09-Jul,0.0051,0.0161,0.0197,-0.0066,-0.0685,0.2195,0.1034,0.0882,0.1420,0.0304,0.0667,0.1229,-0.0114,0.0096
09-Aug,0.0016,0.0177,0.0187,-0.0067,-0.0769,0.2360,0.1189,0.0496,0.1079,0.0420,-0.1111,0.1172,-0.0144,0.0207
09-Sep,0.0018,0.0178,0.0153,-0.0136,-0.0576,0.1741,0.1279,0.0864,0.0133,-0.0030,-0.2857,0.1498,-0.0103,0.0069
09-Oct,0.0026,0.0168,0.0109,-0.0157,-0.0368,0.1391,0.1409,0.0395,-0.0202,0.0052,-0.2500,0.0590,0.0064,0.0091
09-Nov,0.0023,0.0153,0.0066,-0.0091,-0.0227,0.0132,0.0776,0.0254,0.0114,-0.0072,-0.2500,0.0894,0.0077,-0.0016
09-Dec,0.0022,0.0138,0.0056,-0.0067,-0.0229,0.0627,0.0630,0.0123,0.0903,0.0251,-0.2000,0.0737,0.0008,0.0127
10-Jan,0.0036,0.0123,0.0066,0.0021,-0.0305,0.0485,0.0524,0.1252,0.0909,0.0154,-0.0833,0.0365,-0.0257,0.0079
10-Feb,0.0040,0.0103,0.0076,0.0004,-0.0078,0.0541,0.0010,0.0883,0.0433,0.0058,0.0833,-0.0019,-0.0227,0.0089
10-Mar,0.0022,0.0080,0.0073,0.0045,-0.0156,0.0662,0.0375,0.1221,0.0346,0.0247,0.3333,0.0411,-0.0123,0.0095
10-Apr,0.0003,0.0053,0.0036,0.0011,-0.0157,0.0342,0.0656,0.0234,0.0016,0.0314,0.8182,0.0935,0.0187,0.0103
10-May,-0.0003,0.0026,-0.0014,0.0000,-0.0156,0.0566,0.0330,0.0561,-0.1154,0.0228,0.5385,-0.0183,0.0240,0.0105
